,cop_per_kwh
811,155.11416
812,155.11416
813,155.11416
814,155.11416
815,138.61416
816,140.20758
817,140.20758
818,140.20758
819,139.20758
820,139.20758
821,139.20758
822,139.20758
823,140.20758
824,140.20758
825,146.20758
826,155.90758
827,148.20758
828,155.90758
829,153.20758
830,148.20758
831,146.20758
832,140.20758
833,140.20758
834,155.90758
835,155.90758
836,155.90758
837,155.90758
838,148.20758
839,140.20758
840,137.99752
841,137.99752
842,137.99752
843,137.99752
844,137.99752
845,139.99752
846,139.99752
847,144.09752
848,146.99752
849,154.49752
850,156.29752
851,156.29752
852,156.29752
853,156.29752
854,156.29752
855,154.49752
856,146.99752
857,144.09752
858,152.99752
859,156.29752
860,156.29752
861,146.99752
862,139.99752
863,139.99752
864,64.32575
865,64.32575
866,64.32575
867,64.32575
868,132.69175
869,132.69175
870,132.69175
871,140.69175
872,146.68175
873,144.19175
874,144.19175
875,146.68175
876,146.68175
877,147.79175
878,148.79175
879,147.79175
880,147.79175
881,140.69175
882,147.79175
883,148.79175
884,148.79175
885,147.79175
886,144.19175
887,140.69175
888,131.82084
889,131.82084
890,131.82084
891,131.82084
892,131.82084
893,137.81084
894,137.81084
895,139.32084
896,152.92084
897,152.92084
898,154.82084
899,182.82084
900,154.82084
901,182.82084
902,154.82084
903,154.82084
904,154.82084
905,152.92084
906,162.82084
907,162.82084
908,162.82084
909,154.82084
910,142.82084
911,135.82084
912,64.2137
913,64.2137
914,64.2137
915,64.2137
916,116.2047
917,136.5797
918,137.5797
919,137.5797
920,137.5797
921,137.6797
922,139.5797
923,183.5797
924,139.5797
925,183.5797
926,161.5797
927,161.5797
928,161.5797
929,137.6797
930,139.5797
931,161.5797
932,139.5797
933,139.5797
934,137.5797
935,135.5797
936,116.65727
937,116.65727
938,116.65727
939,110.06927
940,125.67727
941,129.67727
942,129.67727
943,136.17727
944,137.57727
945,137.57727
946,137.62727
947,137.76727
948,137.62727
949,137.76727
950,161.67727
951,161.67727
952,137.57727
953,136.17727
954,137.62727
955,137.62727
956,136.17727
957,136.17727
958,133.67727
959,129.67727
960,129.7826
961,129.7826
962,129.7826
963,129.4826
964,129.8826
965,129.7826
966,129.8826
967,129.8826
968,129.8826
969,130.6826
970,130.6826
971,132.1826
972,132.1826
973,132.1826
974,132.1826
975,130.6826
976,130.6826
977,129.8826
978,132.1826
979,134.7826
980,132.1826
981,134.7826
982,132.1826
983,132.1826
984,133.34988
985,133.34988
986,133.34988
987,130.64988
988,133.34988
989,133.34988
990,133.34988
991,133.34988
992,134.24988
993,133.44988
994,133.44988
995,134.24988
996,134.24988
997,134.24988
998,134.24988
999,133.44988
1000,133.44988
1001,133.44988
1002,134.24988
1003,135.24988
1004,134.24988
1005,134.24988
1006,134.24988
1007,133.44988
